team,total_cards
Tottenham,104
Chelsea,96
Bournemouth,90
Brighton,86
Sunderland,83
Wolves,81
Everton,78
Fulham,76
Crystal Palace,76
West Ham,70
Brentford,69
Man City,67
Burnley,66
Man United,65
Newcastle,65
Leeds,63
Nott'm Forest,60
Aston Villa,59
Liverpool,58
Arsenal,51
