team,total_fouls
Wolves,494
Tottenham,463
Bournemouth,457
Brighton,453
Chelsea,426
West Ham,421
Fulham,414
Nott'm Forest,407
Sunderland,407
Everton,405
Crystal Palace,398
Leeds,398
Burnley,394
Man United,391
Arsenal,391
Brentford,390
Newcastle,386
Liverpool,383
Aston Villa,379
Man City,367
