team,total_clean_sheet
Arsenal,19
Man City,16
Crystal Palace,12
Bournemouth,11
Sunderland,11
Everton,11
Liverpool,10
Brentford,10
Brighton,10
Aston Villa,9
Fulham,9
Chelsea,9
Tottenham,9
Nott'm Forest,9
Newcastle,8
Leeds,8
Man United,8
West Ham,7
Burnley,4
Wolves,4
