team,total_fouls,total_cards,fouls_to_card_ratio
Arsenal,391,51,7.67
Nott'm Forest,407,60,6.78
Liverpool,383,58,6.6
Aston Villa,379,59,6.42
Leeds,398,63,6.32
Wolves,494,81,6.1
Man United,391,65,6.02
West Ham,421,70,6.01
Burnley,394,66,5.97
Newcastle,386,65,5.94
Brentford,390,69,5.65
Man City,367,67,5.48
Fulham,414,76,5.45
Brighton,453,86,5.27
Crystal Palace,398,76,5.24
Everton,405,78,5.19
Bournemouth,457,90,5.08
Sunderland,407,83,4.9
Tottenham,463,104,4.45
Chelsea,426,96,4.44
