Referee,Matches_Officiated,Avg_Cards
M Donohue,3,5.0
L Smith,1,5.0
S Attwell,25,4.68
D England,23,4.43
M Salisbury,14,4.36
R Jones,18,4.17
T Bramall,22,4.14
S Hooper,15,4.13
T Robinson,9,4.11
C Kavanagh,30,4.07
P Bankes,22,4.0
A Taylor,31,4.0
J Brooks,12,3.92
S Barrott,24,3.75
A Kitchen,4,3.75
J Gillett,22,3.64
P Tierney,12,3.5
A Madley,21,3.43
M Oliver,29,3.24
T Kirk,6,3.17
T Harrington,11,3.09
C Pawson,21,2.76
F Hallam,5,2.6
